idx,block,trial,stimuli,reward,response,trialtype,regret
2,1,40,red/blue,60,red,decision,0
2,2,1,green/blue,0,green,catch,80
2,2,2,yellow/red,60,red,catch,0
2,2,3,green/blue,40,green,catch,0
2,2,4,yellow/green,20,yellow,decision,20
2,2,5,red/green,60,red,catch,0
2,2,6,blue/red,40,blue,decision,20
2,2,7,blue/yellow,80,blue,catch,0
2,2,8,red/blue,60,red,decision,20
2,2,9,blue/green,40,blue,catch,0
2,2,10,blue/red,80,blue,decision,0
2,2,11,red/blue,60,red,decision,20
2,2,12,red/blue,60,red,decision,0
2,2,13,blue/green,80,blue,catch,0
2,2,14,green/yellow,0,green,decision,20
2,2,15,blue/yellow,40,blue,catch,0
2,2,16,yellow/red,60,red,catch,0
2,2,17,blue/red,80,blue,decision,0
2,2,18,red/blue,60,red,decision,0
2,2,19,yellow/red,20,yellow,catch,40
2,2,20,yellow/red,20,yellow,catch,40
2,2,21,green/red,0,green,catch,60
2,2,22,yellow/green,20,yellow,decision,20
2,2,23,yellow/green,20,yellow,decision,20
2,2,24,red/blue,60,red,decision,20
2,2,25,red/blue,60,red,decision,0
2,2,26,red/blue,60,red,decision,20
2,2,27,red/yellow,60,red,catch,0
2,2,28,red/blue,60,red,decision,0
2,2,29,red/blue,60,red,decision,0
2,2,30,yellow/green,20,yellow,decision,0
2,2,31,yellow/green,20,yellow,decision,0
2,2,32,red/blue,60,red,decision,0
2,2,33,green/red,40,green,catch,20
2,2,34,blue/red,80,blue,decision,0
2,2,35,green/blue,40,green,catch,0
2,2,36,green/yellow,0,green,decision,20
2,2,37,green/yellow,20,yellow,decision,0
2,2,38,green/yellow,0,green,decision,20
2,2,39,green/yellow,40,green,decision,0
2,2,40,red/green,60,red,catch,0
2,3,1,yellow/red,20,yellow,catch,40
2,3,2,yellow/blue,20,yellow,catch,20
2,3,3,yellow/green,0,green,decision,20
2,3,4,blue/red,80,blue,decision,0
2,3,5,green/yellow,0,green,decision,20
2,3,6,red/blue,60,red,decision,20
2,3,7,green/blue,0,green,catch,80
2,3,8,green/red,0,green,catch,60
2,3,9,green/yellow,20,yellow,decision,20
2,3,10,red/blue,60,red,decision,0
2,3,11,green/red,40,green,catch,20
2,3,12,blue/green,80,blue,catch,0
2,3,13,yellow/green,20,yellow,decision,20
2,3,14,green/yellow,40,green,decision,0
2,3,15,blue/red,80,blue,decision,0
