Subject,Date,Session,Day,Trial,Left Path,Right Path,Path Taken,Notes
26,06/19/2013,24,Day 8,1,yellow(1),x,right 4 times then left,
26,06/19/2013,24,Day 8,1,purple(0/2=2),yellow(1),right,
26,06/19/2013,24,Day 8,1,yellow(1),purple(0/2=0),left,
26,06/19/2013,24,Day 8,1,orange(2/4=2),purple(0/2=0),left,
26,06/19/2013,24,Day 8,1,yellow(1),x,right 4 times then left,
26,06/19/2013,24,Day 8,1,purple(0/2=2),yellow(1),right,
26,06/19/2013,24,Day 8,1,yellow(1),purple(0/2=0),left,
26,06/19/2013,24,Day 8,1,orange(2/4=2),purple(0/2=0),left,
26,06/19/2013,24,Day 8,1,yellow(1),green(3),right,
26,06/20/2013,25,Day 8,1,purple(0/2=2),orange(2/4=2),right,
26,06/20/2013,25,Day 8,1,orange(2/4=4),green(3),right,
26,06/20/2013,25,Day 8,1,yellow(1),x,right 4 times then left,
26,06/20/2013,25,Day 8,1,purple(0/2=2),yellow(1),right,
26,06/20/2013,25,Day 8,1,yellow(1),purple(0/2=0),left,
26,06/20/2013,25,Day 8,1,orange(2/4=2),purple(0/2=0),left,
26,06/20/2013,25,Day 8,1,yellow(1),green(3),right,
26,06/20/2013,25,Day 8,1,purple(0/2=2),orange(2/4=2),right,
26,06/20/2013,25,Day 8,1,orange(2/4=4),green(3),right,
26,06/20/2013,25,Day 8,1,green(3),orange(2/4=4),right,
26,06/21/2013,26,Day 1,1,green(3),yellow(1),right,
26,06/21/2013,26,Day 1,1,x,orange(2/4=4),right,
26,06/21/2013,26,Day 1,1,yellow(1),green(3),right,
26,06/21/2013,26,Day 1,1,purple(0/2=2),x,right twice then left,"accidentally stopped recording after went through left door,æso there are a couple seconds of video missing"
26,06/21/2013,26,Day 1,5,orange(2/4=4),green(3),right,
26,06/21/2013,26,Day 1,6,orange(2/4=2),purple(0/2=0),left,
26,06/21/2013,26,Day 1,7,x,orange(2/4=4),right,
26,06/21/2013,26,Day 1,8,purple(0/2=2),orange(2/4=2),right,
